neighborhood,year,month_number,permits_count,total_construction_value,avg_construction_value,n_properties,avg_assessed_value
ABBOTTSFIELD,2019,1,1,250000.0,250000.0,389.0,454548.8431876607
ABBOTTSFIELD,2019,4,1,50000.0,50000.0,389.0,454548.8431876607
ABBOTTSFIELD,2019,7,1,60000.0,60000.0,389.0,454548.8431876607
ABBOTTSFIELD,2019,9,1,700000.0,700000.0,389.0,454548.8431876607
ABBOTTSFIELD,2019,10,2,45000.0,22500.0,389.0,454548.8431876607
ABBOTTSFIELD,2020,1,1,9000.0,9000.0,389.0,454548.8431876607
ABBOTTSFIELD,2020,2,1,150000.0,150000.0,389.0,454548.8431876607
ABBOTTSFIELD,2020,5,1,7000.0,7000.0,389.0,454548.8431876607
ABBOTTSFIELD,2020,6,1,125000.0,125000.0,389.0,454548.8431876607
ABBOTTSFIELD,2020,10,3,67000.0,22333.333333333332,389.0,454548.8431876607
ABBOTTSFIELD,2020,11,1,5512410.0,5512410.0,389.0,454548.8431876607
ABBOTTSFIELD,2021,2,2,120000.0,60000.0,389.0,454548.8431876607
ABBOTTSFIELD,2021,4,3,1898011.0,632670.3333333334,389.0,454548.8431876607
ABBOTTSFIELD,2021,7,1,1000.0,1000.0,389.0,454548.8431876607
ABBOTTSFIELD,2021,8,2,43506750.0,21753375.0,389.0,454548.8431876607
ABBOTTSFIELD,2022,4,1,10000.0,10000.0,389.0,454548.8431876607
ABBOTTSFIELD,2022,11,1,100000.0,100000.0,389.0,454548.8431876607
ABBOTTSFIELD,2022,12,1,65000.0,65000.0,389.0,454548.8431876607
ABBOTTSFIELD,2024,3,1,0.0,,389.0,454548.8431876607
ABBOTTSFIELD,2024,9,1,106507.0,106507.0,389.0,454548.8431876607
ABBOTTSFIELD,2025,2,2,202314.0,101157.0,389.0,454548.8431876607
ABBOTTSFIELD,2025,5,1,1600000.0,1600000.0,389.0,454548.8431876607
ABBOTTSFIELD,2025,12,1,500000.0,500000.0,389.0,454548.8431876607
ALBANY,2019,3,1,10000.0,10000.0,1041.0,383780.0192122959
ALBANY,2019,6,1,10000.0,10000.0,1041.0,383780.0192122959
ALBANY,2019,12,3,77000.0,25666.666666666668,1041.0,383780.0192122959
ALBANY,2020,1,3,38500.0,19250.0,1041.0,383780.0192122959
ALBANY,2020,2,1,45000.0,45000.0,1041.0,383780.0192122959
ALBANY,2020,4,1,1000.0,1000.0,1041.0,383780.0192122959
ALBANY,2020,6,1,125000.0,125000.0,1041.0,383780.0192122959
ALBANY,2020,9,1,140000.0,140000.0,1041.0,383780.0192122959
ALBANY,2020,11,2,50000.0,25000.0,1041.0,383780.0192122959
ALBANY,2020,12,1,180000.0,180000.0,1041.0,383780.0192122959
ALBANY,2021,1,4,51000.0,12750.0,1041.0,383780.0192122959
ALBANY,2021,3,2,465720.0,465720.0,1041.0,383780.0192122959
ALBANY,2021,4,1,15000.0,15000.0,1041.0,383780.0192122959
ALBANY,2021,5,1,32000.0,32000.0,1041.0,383780.0192122959
ALBANY,2021,10,1,0.0,,1041.0,383780.0192122959
ALBANY,2021,11,2,15000.0,15000.0,1041.0,383780.0192122959
ALBANY,2022,1,1,25000.0,25000.0,1041.0,383780.0192122959
ALBANY,2022,3,1,0.0,,1041.0,383780.0192122959
ALBANY,2022,4,3,29000.0,14500.0,1041.0,383780.0192122959
ALBANY,2022,6,2,308000.0,154000.0,1041.0,383780.0192122959
ALBANY,2022,8,1,0.0,,1041.0,383780.0192122959
ALBANY,2022,9,1,25000.0,25000.0,1041.0,383780.0192122959
ALBANY,2022,10,2,100000.0,100000.0,1041.0,383780.0192122959
ALBANY,2022,11,1,12000.0,12000.0,1041.0,383780.0192122959
ALBANY,2022,12,1,0.0,,1041.0,383780.0192122959
ALBANY,2023,2,2,100000.0,100000.0,1041.0,383780.0192122959
ALBANY,2023,3,1,50000.0,50000.0,1041.0,383780.0192122959
ALBANY,2023,4,1,5000.0,5000.0,1041.0,383780.0192122959
ALBANY,2023,5,1,10000.0,10000.0,1041.0,383780.0192122959
ALBANY,2023,6,2,0.0,,1041.0,383780.0192122959
ALBANY,2023,7,2,19048804.0,9524402.0,1041.0,383780.0192122959
ALBANY,2023,8,2,2335725.0,1167862.5,1041.0,383780.0192122959
ALBANY,2023,9,3,55000.0,18333.333333333332,1041.0,383780.0192122959
ALBANY,2023,10,1,0.0,,1041.0,383780.0192122959
ALBANY,2023,11,5,35426509.0,11808836.333333334,1041.0,383780.0192122959
ALBANY,2024,1,2,567000.0,283500.0,1041.0,383780.0192122959
ALBANY,2024,3,2,15510000.0,7755000.0,1041.0,383780.0192122959
ALBANY,2024,4,1,25001.0,25001.0,1041.0,383780.0192122959
ALBANY,2024,5,1,15000.0,15000.0,1041.0,383780.0192122959
ALBANY,2024,6,2,61500.0,30750.0,1041.0,383780.0192122959
ALBANY,2024,7,1,20000.0,20000.0,1041.0,383780.0192122959
ALBANY,2024,9,2,265000.0,132500.0,1041.0,383780.0192122959
ALBANY,2024,11,1,480000.0,480000.0,1041.0,383780.0192122959
ALBANY,2025,1,1,0.0,,1041.0,383780.0192122959
ALBANY,2025,2,3,280000.0,93333.33333333333,1041.0,383780.0192122959
ALBANY,2025,5,2,300000.0,150000.0,1041.0,383780.0192122959
ALBANY,2025,6,3,80000.0,26666.666666666668,1041.0,383780.0192122959
ALBERTA AVENUE,2019,1,3,40199.0,13399.666666666666,2606.0,302606.67689946276
ALBERTA AVENUE,2019,2,7,318120.0,63624.0,2606.0,302606.67689946276
ALBERTA AVENUE,2019,3,5,65000.0,65000.0,2606.0,302606.67689946276
ALBERTA AVENUE,2019,4,6,295000.0,98333.33333333333,2606.0,302606.67689946276
ALBERTA AVENUE,2019,5,10,786878.0,131146.33333333334,2606.0,302606.67689946276
ALBERTA AVENUE,2019,6,12,825575.0,117939.28571428571,2606.0,302606.67689946276
ALBERTA AVENUE,2019,7,5,357085.0,119028.33333333333,2606.0,302606.67689946276
ALBERTA AVENUE,2019,8,4,0.0,,2606.0,302606.67689946276
ALBERTA AVENUE,2019,9,9,307770.0,51295.0,2606.0,302606.67689946276
ALBERTA AVENUE,2019,10,11,617785.0,88255.0,2606.0,302606.67689946276
ALBERTA AVENUE,2019,11,12,629820.0,125964.0,2606.0,302606.67689946276
ALBERTA AVENUE,2019,12,9,664135.0,132827.0,2606.0,302606.67689946276
ALBERTA AVENUE,2020,1,5,71000.0,17750.0,2606.0,302606.67689946276
ALBERTA AVENUE,2020,2,5,129075.0,64537.5,2606.0,302606.67689946276
ALBERTA AVENUE,2020,3,12,785271.0,112181.57142857143,2606.0,302606.67689946276
ALBERTA AVENUE,2020,4,3,85500.0,42750.0,2606.0,302606.67689946276
ALBERTA AVENUE,2020,5,8,79250.0,39625.0,2606.0,302606.67689946276
